time,num_flashes,period,period_adjust,phase,phase_adjust
2022-05-01 18:41:25.6,1,813,-87,714,-146
2022-05-01 18:41:25.965,2,784,-29,817,-49
2022-05-01 18:41:26.965,3,770,-14,61,-23
2022-05-01 18:41:27.948,4,787,17,167,29
2022-05-01 18:41:28.868,5,806,19,160,33
2022-05-01 18:41:29.773,6,814,8,128,13
2022-05-01 18:41:30.685,7,821,7,135,12
2022-05-01 18:41:31.653,8,839,18,172,30
2022-05-01 18:41:32.556,9,845,6,131,11
2022-05-01 18:41:33.513,10,853,8,129,14
2022-05-01 18:41:34.435,11,850,-3,100,-6
2022-05-01 18:41:35.404,12,858,8,132,14
2022-05-01 18:41:36.379,13,865,7,132,12
