time,num_flashes,period,period_adjust,phase,phase_adjust
2022-05-01 19:18:14.79,1,687,-13,19,-22
2022-05-01 19:18:15.145,2,739,52,242,88
2022-05-01 19:18:15.980,3,785,46,220,77
2022-05-01 19:18:16.914,4,838,53,243,88
2022-05-01 19:18:17.748,5,864,26,155,43
2022-05-01 19:18:18.648,6,877,13,109,22
2022-05-01 19:18:19.482,7,864,-13,20,-22
2022-05-01 19:18:20.417,8,859,-5,41,-9
2022-05-01 19:18:21.317,9,853,-6,42,-11
2022-05-01 19:18:22.218,10,846,-7,44,-12
2022-05-01 19:18:23.86,11,833,-13,21,-22
2022-05-01 19:18:24.52,12,839,6,87,11
2022-05-01 19:18:24.919,13,839,0,64,0
2022-05-01 19:18:25.820,14,839,0,64,0
2022-05-01 19:18:26.722,15,839,0,66,0
2022-05-01 19:18:27.655,16,845,6,87,11
2022-05-01 19:18:28.556,17,851,6,88,10
2022-05-01 19:18:29.423,18,851,0,66,0
2022-05-01 19:18:30.323,19,851,0,63,0
2022-05-01 19:18:31.224,20,851,0,65,0
2022-05-01 19:18:32.91,21,845,-6,42,-11
2022-05-01 19:18:32.993,22,839,-6,42,-10
2022-05-01 19:18:33.893,23,839,0,64,0
2022-05-01 19:18:34.827,24,845,6,88,10
2022-05-01 19:18:35.727,25,851,6,89,10
2022-05-01 19:18:36.595,26,851,0,66,0
2022-05-01 19:18:37.496,27,851,0,65,-1
2022-05-01 19:18:38.396,28,851,0,64,0
2022-05-01 19:18:39.263,29,845,-6,41,-11
2022-05-01 19:18:40.164,30,839,-6,42,-10
2022-05-01 19:18:41.65,31,839,0,64,0
2022-05-01 19:18:41.998,32,845,6,88,10
2022-05-01 19:18:42.899,33,851,6,88,10
2022-05-01 19:18:43.767,34,851,0,65,0
2022-05-01 19:18:44.667,35,851,0,66,0
2022-05-01 19:18:45.568,36,851,0,65,0
2022-05-01 19:18:46.434,37,845,-6,40,-10
2022-05-01 19:18:47.336,38,839,-6,42,-11
2022-05-01 19:18:48.236,39,839,0,65,0
2022-05-01 19:18:49.170,40,844,5,89,9
2022-05-01 19:18:50.71,41,850,6,88,11
2022-05-01 19:18:50.938,42,850,0,65,0
2022-05-01 19:18:51.840,43,850,0,67,-1
2022-05-01 19:18:52.740,44,850,0,64,0
2022-05-01 19:18:53.607,45,844,-6,43,-11
2022-05-01 19:18:54.508,46,837,-7,43,-11
2022-05-01 19:18:55.408,47,837,0,66,0
2022-05-01 19:18:56.275,48,830,-7,41,-11
2022-05-01 19:18:57.177,49,830,0,65,0
2022-05-01 19:18:58.110,50,843,13,110,21
2022-05-01 19:18:58.944,51,843,0,64,0
