time,num_flashes,period,period_adjust,phase,phase_adjust
2022-05-01 19:18:14.328,1,934,34,221,58
2022-05-01 19:18:15.59,2,917,-17,980,-29
2022-05-01 19:18:15.894,3,873,-44,873,-74
2022-05-01 19:18:16.832,4,858,-15,927,-25
2022-05-01 19:18:17.677,5,829,-29,858,-49
2022-05-01 19:18:18.628,6,812,-17,46,-28
2022-05-01 19:18:19.628,7,828,16,158,26
2022-05-01 19:18:20.512,8,833,5,122,9
2022-05-01 19:18:21.410,9,834,1,129,2
2022-05-01 19:18:22.296,10,839,5,122,9
2022-05-01 19:18:23.246,11,853,14,172,23
2022-05-01 19:18:24.79,12,845,-8,94,-14
2022-05-01 19:18:24.965,13,841,-4,88,-7
2022-05-01 19:18:25.914,14,842,1,129,2
2022-05-01 19:18:26.799,15,847,5,122,9
2022-05-01 19:18:27.687,16,841,-6,80,-11
2022-05-01 19:18:28.582,17,832,-9,94,-15
2022-05-01 19:18:29.469,18,828,-4,88,-7
2022-05-01 19:18:30.417,19,829,1,129,2
2022-05-01 19:18:31.303,20,834,5,124,9
2022-05-01 19:18:32.187,21,841,7,120,11
2022-05-01 19:18:33.86,22,842,1,129,2
2022-05-01 19:18:33.972,23,847,5,122,9
2022-05-01 19:18:34.857,24,841,-6,80,-11
2022-05-01 19:18:35.754,25,832,-9,95,-15
2022-05-01 19:18:36.641,26,828,-4,89,-8
2022-05-01 19:18:37.587,27,829,1,128,2
2022-05-01 19:18:38.475,28,834,5,124,9
2022-05-01 19:18:39.359,29,839,5,122,9
2022-05-01 19:18:40.257,30,840,1,130,2
2022-05-01 19:18:41.143,31,845,5,121,9
2022-05-01 19:18:42.29,32,839,-6,79,-11
2022-05-01 19:18:42.927,33,831,-8,94,-14
2022-05-01 19:18:43.811,34,826,-5,86,-8
2022-05-01 19:18:44.761,35,827,1,130,1
2022-05-01 19:18:45.647,36,832,5,122,9
2022-05-01 19:18:46.532,37,838,6,122,10
2022-05-01 19:18:47.430,38,838,0,131,1
2022-05-01 19:18:48.314,39,843,5,122,9
2022-05-01 19:18:49.201,40,837,-6,79,-10
2022-05-01 19:18:50.98,41,828,-9,94,-15
2022-05-01 19:18:50.983,42,824,-4,86,-7
2022-05-01 19:18:51.933,43,825,1,130,2
2022-05-01 19:18:52.819,44,830,5,124,9
2022-05-01 19:18:53.704,45,835,5,122,9
2022-05-01 19:18:54.601,46,836,1,130,1
2022-05-01 19:18:55.487,47,841,5,123,9
2022-05-01 19:18:56.372,48,846,5,122,9
2022-05-01 19:18:57.270,49,847,1,129,2
2022-05-01 19:18:58.103,50,828,-19,59,-31
2022-05-01 19:18:58.990,51,824,-4,87,-7
